name,medicare_provider_number,address,city,county,state,zip_code,telephone,primary_contact,coo,cfo,cmo,cio,chr,cno,web_address,control,services,staffed_beds
BAPTIST HEALTH SHELBY HOSPITAL,010016,1000 First Street North,ALABASTER,Shelby County,ALABAMA,35007-8703,205/620-8100,"Holly Dean, Chief Executive Officer","Watson Hughston, Chief Operating Officer",,"Jade Brice Roshell, M.D.","Mike Nighman, Facility Coordinator Information Systems","Shaneira Harris, Manager","Beth Hock, Chief Nursing Officer",https://www.shelbybaptistmedicalcenter.com/,"Church operated, Nongovernment, not–for–profit",General medical and surgical,231
NOLAND HOSPITAL SHELBY,012013,"1000 First Street North, 3rd Floor",ALABASTER,Shelby County,ALABAMA,35007-8703,205/620-8641,"Laura S. Wills, Administrator",,,,,,,www.nolandhospitals.com,Other not–for–profit (including NFP Corporation),Acute long–term care hospital,52
RUSSELL MEDICAL,010065,3316 Highway 280,ALEXANDER CITY,Tallapoosa County,ALABAMA,35010-3369,256/329-7100,"Lother E. Peace III, President and Chief Executive Officer",,"J. Matthew Fisher, Chief Financial Officer","Michele Goldhagen, M.D.","Donna Carter, Chief Information Officer and Security Officer","Holly Williams, Human Resources Director",,www.russellmedcenter.com,Other not–for–profit (including NFP Corporation),General medical and surgical,69
ANDALUSIA HEALTH,010036,849 South Three Notch Street,ANDALUSIA,Covington County,ALABAMA,36420-5325,334/222-8466,"Vickie Demers, Chief Executive Officer",,"Shirley M Smith, Chief Financial Officer",,"Matthew Perry, Director Information Systems","Brian Woods, Human Resources Director","Pam Aud, Chief Clinical Officer",www.andalusiahealth.com,"Corporation, Investor–owned (for–profit)",General medical and surgical,40
NOLAND HOSPITAL ANNISTON,012011,"400 East 10th Street, 4th Fl",ANNISTON,Calhoun County,ALABAMA,36207-4716,256/741-6141,"Trina Woods, Administrator",,,,,,,www.nolandhealth.com,Other not–for–profit (including NFP Corporation),Acute long–term care hospital,38
RMC ANNISTON,010078,400 East Tenth Street,ANNISTON,Calhoun County,ALABAMA,36207-4716,256/235-5121,"Louis A. Bass, Chief Executive Officer","Tripp Johnson, Assistant Vice President Operations","Mark D. North, Chief Financial Officer","David Zinn, M.D.","Pete Furlow, Chief Information Officer","Doug Scott, Vice President Human Resources","Elaine Davis, Chief Nursing Officer and Vice President Patient Services",www.rmccares.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,303
CLAY COUNTY HOSPITAL,010073,83825 Highway 9,ASHLAND,Clay County,ALABAMA,36251-7981,256/354-2131,"Stephen Young, Chief Executive Officer",,"Kerry W Tomlin, Associate Administrator",David Hensleigh,"Patrick Smith, Director Information Technology","Linda T Smith, Director Human Resources","Charles Griffin, Director of Nursing",www.claycountyhospital.com,"County, Government, Nonfederal",General medical and surgical,129
NORTH ALABAMA SPECIALTY HOSPITAL,012014,"700 West Market Street, 2 South",ATHENS,Limestone County,ALABAMA,35611-2457,256/262-6767,"Gene Smith, Chief Executive Officer",,,,,,,www.amgnash.com,"Corporation, Investor–owned (for–profit)",Acute long–term care hospital,31
ATMORE COMMUNITY HOSPITAL,010169,401 Medical Park Drive,ATMORE,Escambia County,ALABAMA,36502-3091,251/368-2500,"Wes Nall, Interim Administrator",,"Keith Strickling, Chief Financial Officer",,,"Linda Lowrey, Human Resources Officer","Suzanne McGill, Director of Nursing",www.atmorehealth.org/,Other not–for–profit (including NFP Corporation),General medical and surgical,33
NORTH BALDWIN INFIRMARY,010129,1815 Hand Avenue,BAY MINETTE,Baldwin County,ALABAMA,36507-4110,251/937-5521,"Kenny Breal, President",,"J Patrick Murphy, Chief Financial Officer",,,,,https://www.infirmaryhealth.org/locations/north-baldwin-infirmary/,Other not–for–profit (including NFP Corporation),General medical and surgical,113
UAB MEDICAL WEST,010114,5000 Medical West Way,BESSEMER,Jefferson County,ALABAMA,35022-7082,205/481-7000,"Brian Keith. Pennington, President and Chief Executive Officer",,"Brandon H Slocum, Senior Vice President and Chief Financial Officer",Conrad De Los Santos,"Bob Duckworth, Director Information Systems","Gannon Davis, Director Human Resources","Pamela Spencer Autrey, R.N.",www.medicalwesthospital.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,200
BAPTIST HEALTH BROOKWOOD HOSPITAL,010139,2010 Brookwood Medical Center Drive,BIRMINGHAM,Jefferson County,ALABAMA,35209-6875,205/877-1000,"Jeremy L. Clark, R.N.","Sarah Gilbert, Interim Chief Operating Officer","David Roebuck, Chief Financial Officer","Vish Sachdev, M.D.","Sean Michaels, Chief Information Officer","Art Stewart, Director","Carrie Capps, Interim Chief Nursing Officer",https://www.baptisthealthal.com/,"Corporation, Investor–owned (for–profit)",General medical and surgical,595
BAPTIST HEALTH PRINCETON HOSPITAL,010103,701 Princeton Avenue SW,BIRMINGHAM,Jefferson County,ALABAMA,35211-1303,205/783-3000,"Daniel Listi, Chief Executive Officer","Frank Sortino, Chief Operating Officer","Greg Anderson, Chief Financial Officer","Alan Craig, M.D.","Antonia Mohamed, Acting Chief Information Officer","Gillian Jackson, Director","Lori Sumner, Chief Nursing Officer",www.bhsala.com,"Church operated, Nongovernment, not–for–profit",General medical and surgical,315
ENCOMPASS HEALTH LAKESHORE REHABILITATION HOSPITAL,013025,3800 Ridgeway Drive,BIRMINGHAM,Jefferson County,ALABAMA,35209-5599,205/868-2000,"Michael Bartell, Chief Executive Officer",,"Kimberly Thrasher, Controller","Michael Rosemore, M.D.",,"Julie Smith, Director Human Resources","April Cobb, Chief Nursing Officer",www.encompasshealth.com/lakeshorerehab,"Corporation, Investor–owned (for–profit)",Rehabilitation,100
GRANDVIEW MEDICAL CENTER,010104,3690 Grandview Parkway,BIRMINGHAM,Jefferson County,ALABAMA,35243-3326,205/971-1000,"Daniel McKinney, Chief Executive Officer",,"Michael Cotton, Chief Financial Officer",David Wynne,"Tim Townes, Chief Information Officer","Jeri Wink, Director Human Resources","Sherry Cole, Chief Nursing Officer",www.grandviewhealth.com,"Corporation, Investor–owned (for–profit)",General medical and surgical,434
HILL CREST BEHAVIORAL HEALTH SERVICES,014000,6869 Fifth Avenue South,BIRMINGHAM,Jefferson County,ALABAMA,35212-1866,205/833-9000,"Ballard Sheppard, Ph.D.",,"Mark Teske, Chief Financial Officer",,,,,www.hillcrestbhs.com,"Corporation, Investor–owned (for–profit)",Psychiatric,207
UNIVERSITY OF ALABAMA HOSPITAL,010033,619 19th Street South,BIRMINGHAM,Jefferson County,ALABAMA,35249-1900,205/934-4011,"Brenda H. Carlisle, R.N.",,,"Loring Rue, M.D.","Joan Hicks, Chief Information Officer","Alesia Jones, Chief Human Resources Officer","Terri Lyn Poe, Chief Nursing Officer",www.uabmedicine.org,,General medical and surgical,1308
MARSHALL MEDICAL CENTER SOUTH,010005,U S Highway 431 North,BOAZ,Marshall County,ALABAMA,35957-0999,256/593-8310,"Christopher Rush, President",,"Taylor Walker, Chief Financial Officer",,,,,www.mmcenters.com//index.php/facilities/marshall_south,"Hospital district or authority, Government, Nonfederal",General medical and surgical,107
D. W. MCMILLAN MEMORIAL HOSPITAL,010099,1301 Belleville Avenue,BREWTON,Escambia County,ALABAMA,36426-1306,251/867-8061,"Stacy Hines, Administrator",,,,"Ian Vickery, Director Information Technology","Autherine Davis, Director Human Resources","LeAnne Rowell, Director of Nursing",www.dwmmh.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,49
J. PAUL JONES HOSPITAL,010781,317 McWilliams Avenue,CAMDEN,Wilcox County,ALABAMA,36726-1610,334/682-4131,,,,"Willie White, M.D.","Jill Smith, Administrative Coordinator","Jill Smith, Administrative Coordinator",,https://jpauljones.com/,,,21
NOLAND HOSPITAL BIRMINGHAM,012009,"50 Medical Park East Drive, 8th Floor",CAMDEN,Wilcox County,ALABAMA,35235,205/838-5100,"Laura S. Wills, Administrator","Sharon Engle, Director Clinical Services",,"Mark Middlebrooks, M.D.",,"Ashley Clark, Coordinator Human Resources","Rachel Chapman, Nurse Manager",www.nolandhealth.com,Other not–for–profit (including NFP Corporation),Acute long–term care hospital,45
UAB CALLAHAN EYE HOSPITAL,010018,1720 University Boulevard,CAMDEN,Wilcox County,ALABAMA,35233-1816,205/325-8100,"Jarrod G. Johnson, FACHE","Andy Davis, Chief Operating Officer","Libby Bailey, Chief Financial Officer","Robert Morris, M.D.","Maxine Nichols, Director Information Systems","Karen H Burleson, Assistant Vice President Human Resources","Amy Shelton, Chief Nursing Officer",www.uabmedicine.org/locations/uab-callahan-eye-hospital,Other not–for–profit (including NFP Corporation),"Eye, ear, nose and throat",20
LAKE MARTIN COMMUNITY HOSPITAL,010052,201 Mariarden Road,DADEVILLE,Tallapoosa County,ALABAMA,36853-6251,256/825-7821,"Michael Bruce, Chief Executive Officer",,,,,"Karen Treadwell, Director Human Resources",,www.lakemartincommunityhospital.com,"Partnership, Investor–owned (for–profit)",General medical and surgical,25
DECATUR MORGAN HOSPITAL,010085,1201 Seventh Street SE,DECATUR,Morgan County,ALABAMA,35601-3303,256/341-2000,"Kelli Powers, President",,"Danny Crowe, Chief Financial Officer","Allen J Schmidt, M.D.","Mark Megehee, Vice President and Chief Information Officer",,"Anita Walden, Vice President and Chief Nursing Officer",www.decaturgeneral.org,"Hospital district or authority, Government, Nonfederal",General medical and surgical,110
WHITFIELD REGIONAL HOSPITAL,010112,105 U S Highway 80 East,DEMOPOLIS,Marengo County,ALABAMA,36732-3616,334/289-4000,"Douglas L. Brewer, Chief Executive Officer","Dereck Morrison, Assistant Administrator","Doug A. Brooker, Chief Financial Officer","John G. Kahler, M.D.",,,,www.bwwmh.com,"Hospital district or authority, Government, Nonfederal",General medical and surgical,47
